trans_hour,trans_day,trans_month,trans_year,category,upi_number,age,trans_amount,state,zip,fraud_risk
0,1,1,2022,12,9957000001,54,66.21,22,49879,0
1,1,1,2022,3,9957000002,15,55.81,14,62668,0
3,1,1,2022,8,9957000003,60,8.68,4,96037,0
6,1,1,2022,4,9957000004,44,89.52,40,29911,0
6,1,1,2022,0,9957000005,72,1.9,38,16421,0
8,1,1,2022,3,9957000006,24,61.74,15,46765,0
13,1,1,2022,11,9957000007,41,23.25,18,70808,0
19,1,1,2022,10,9957000008,75,81.94,35,45860,0
19,1,1,2022,10,8753000004,48,71.86,49,24927,0
20,1,1,2022,10,8753000005,66,69.54,36,73754,0
20,1,1,2022,0,9132000000,19,34.5,17,42171,0
21,1,1,2022,6,9132000001,38,16.58,49,25526,0
1,1,2,2022,4,9132000002,30,281.06,27,28611,1
1,1,2,2022,2,9132000003,58,11.52,43,78208,1
3,1,2,2022,4,9132000004,58,276.31,43,78208,1
3,1,2,2022,4,8753000011,52,137.47,38,17929,0
3,1,2,2022,2,8753000012,30,7.03,27,28611,1
3,1,2,2022,4,8753000013,47,42.41,22,48174,0
3,1,2,2022,4,8753000014,58,275.73,43,78208,1
4,1,2,2022,2,8753000015,56,52.37,38,16878,0
4,1,2,2022,8,9957000021,37,170.98,48,53129,0
5,1,2,2022,9,8876000013,79,1.48,35,43160,0
13,1,2,2022,11,8876000014,30,844.8,27,28611,1
14,1,2,2022,6,8876000015,21,3.77,16,67020,0
15,1,2,2022,10,8876000016,20,7.27,46,5461,0
15,1,2,2022,1,8876000017,35,3.16,43,79539,0
23,1,2,2022,8,9957000027,30,843.91,27,28611,1
1,1,3,2022,1,9957000028,51,41.39,22,48221,0
1,1,3,2022,2,9957000029,58,10.76,43,78208,1
1,1,3,2022,4,9957000030,58,332.35,43,78208,1
3,1,3,2022,4,9957000031,58,315.34,43,78208,1
8,1,3,2022,2,9957000032,33,71.17,36,73027,0
9,1,3,2022,8,7664000007,61,5.68,2,71832,0
15,1,3,2022,1,7664000008,59,9.06,49,25049,0
16,1,3,2022,4,7664000009,77,337.05,38,15665,1
18,1,3,2022,12,7664000010,77,711.66,38,15665,1
18,1,3,2022,5,7664000011,28,20.29,34,12419,0
19,1,3,2022,12,9957000038,24,726.22,31,7439,0
21,1,3,2022,9,9957000039,25,7.92,27,28314,0
21,1,3,2022,11,9957000040,40,400,42,37132,0
21,1,3,2022,6,9957000041,59,33.39,4,94569,0
22,1,3,2022,5,9957000042,53,89.33,49,25442,0
22,1,3,2022,8,9957000043,77,707.5,38,15665,1
22,1,3,2022,11,9957000044,30,942.62,27,28611,1
22,1,3,2022,13,9957000045,77,4.5,38,15665,1
23,1,3,2022,5,9957000046,52,200.86,23,56592,0
23,1,3,2022,12,9957000047,30,821.96,27,28611,1
23,1,3,2022,11,9957000048,30,1092.68,27,28611,1
23,1,3,2022,11,9957000049,30,1254.27,27,28611,1
23,1,3,2022,4,9957000050,58,274.09,43,78208,1
0,1,4,2022,3,9957000051,79,14.37,0,99783,1
2,1,4,2022,4,9957000052,77,316.93,38,15665,1
2,1,4,2022,4,9957000053,77,327.68,38,15665,1
6,1,4,2022,8,9957000054,34,5.9,9,33981,0
7,1,4,2022,11,9957000055,56,17.68,34,14537,0
9,1,4,2022,4,9957000056,43,43.75,43,78248,0
9,1,4,2022,9,9957000057,48,250.02,21,4226,0
13,1,4,2022,6,9957000058,40,76.87,9,33811,0
14,1,4,2022,5,9957000059,84,16.27,27,27249,0
15,1,4,2022,11,9957000060,79,966.11,0,99783,1
15,1,4,2022,8,9957000061,77,795.22,38,15665,1
15,1,4,2022,11,9957000062,40,9.05,32,87117,0
15,1,4,2022,12,9957000063,77,1015.8,38,15665,1
20,1,4,2022,7,9957000064,59,92.78,17,41810,0
20,1,4,2022,10,9957000065,46,31.55,26,59448,0
21,1,4,2022,6,9957000066,24,75.56,22,49775,0
22,1,4,2022,8,9957000067,77,722.18,38,15665,1
22,1,4,2022,11,9957000068,77,898.81,38,15665,1
22,1,4,2022,11,9957000069,77,1001.63,38,15665,1
22,1,4,2022,1,9957000070,29,24.51,9,32323,0
22,1,4,2022,9,9957000071,79,49.61,0,99783,1
22,1,4,2022,7,9957000072,47,151.5,13,83646,0
23,1,4,2022,4,9957000073,79,295.26,0,99783,1
23,1,4,2022,11,9957000074,77,1099.99,38,15665,1
23,1,4,2022,5,9957000075,79,18.17,0,99783,1
0,1,5,2022,4,9957000076,45,83.83,4,94619,0
3,1,5,2022,2,7637000019,79,20.45,0,99783,1
3,1,5,2022,2,7637000020,79,18.19,0,99783,1
6,1,5,2022,2,7637000021,34,63.46,45,23937,0
8,1,5,2022,3,7637000022,40,64.67,47,99160,0
11,1,5,2022,2,7637000023,56,34.17,14,61560,0
11,1,5,2022,4,9957000082,64,367.29,24,64630,1
12,1,5,2022,6,9957000083,86,248.23,21,4074,0
12,1,5,2022,1,9957000084,28,119.53,34,13367,0
15,1,5,2022,7,9957000085,43,26.82,43,76578,0
18,1,5,2022,8,9957000086,79,768.15,0,99783,1
20,1,5,2022,10,9957000087,68,7.43,18,70466,0
22,1,5,2022,8,9957000088,79,849.49,0,99783,1
22,1,5,2022,11,9957000089,64,1177.79,24,64630,1
22,1,5,2022,4,9957000090,79,307.09,0,99783,1
22,1,5,2022,7,9957000091,79,4.58,0,99783,1
22,1,5,2022,12,9957000092,79,730.78,0,99783,1
22,1,5,2022,11,9957000093,79,1006.4,0,99783,1
22,1,5,2022,12,9957000094,79,830.72,0,99783,1
22,1,5,2022,12,9957000095,28,55.08,34,12419,0
23,1,5,2022,6,9957000096,47,49.28,14,62067,0
23,1,5,2022,4,9957000097,79,311.92,0,99783,1
23,1,5,2022,12,9957000098,64,762.93,24,64630,1
0,1,6,2022,1,9957000099,76,70.24,43,75210,0
4,1,6,2022,4,9957000100,64,151.76,38,17058,0
6,1,6,2022,3,9957000101,14,23.74,14,60958,0
16,1,6,2022,12,9957000102,24,9.86,23,55080,0
16,1,6,2022,10,9957000103,68,59.17,18,70466,0
17,1,6,2022,1,9957000104,21,25.95,10,30009,0
18,1,6,2022,11,9957000105,64,855.88,24,64630,1
20,1,6,2022,1,9957000106,57,130.81,43,76834,0
20,1,6,2022,0,9957000107,25,5.49,2,72042,0
21,1,6,2022,7,9957000108,29,54.02,36,73754,0
21,1,6,2022,1,9957000109,38,115.61,31,7208,0
21,1,6,2022,7,9957000110,47,17.07,36,74536,0
23,1,6,2022,11,9957000111,64,909.29,24,64630,1
4,1,7,2022,4,9957000112,51,67.07,36,74130,0
4,1,7,2022,4,9957000113,62,300.14,2,71832,1
7,1,7,2022,2,9957000114,33,47.17,9,33872,0
8,1,7,2022,8,9957000115,68,304.57,4,95528,0
